127.0.0.1 - - [10/May/2016:08:53:26 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841606722 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:53:27 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841607839 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:58:54 +0800] "GET /webtest/video.jsp HTTP/1.1" 200 7164
127.0.0.1 - - [10/May/2016:08:58:54 +0800] "GET /webtest/js/jquery-1.6.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:58:54 +0800] "GET /webtest/js/search.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:58:54 +0800] "GET /webtest/js/test.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:58:54 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:58:55 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841935976 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:58:56 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841936830 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:58:57 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841937898 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:59:23 +0800] "GET /webtest/video.jsp HTTP/1.1" 200 7164
127.0.0.1 - - [10/May/2016:08:59:23 +0800] "GET /webtest/js/jquery-1.6.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:23 +0800] "GET /webtest/js/search.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:23 +0800] "GET /webtest/js/test.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:23 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:25 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841965071 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:59:25 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841965886 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:59:27 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841967083 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:59:29 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841969879 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:59:39 +0800] "GET /webtest/video.jsp HTTP/1.1" 200 7164
127.0.0.1 - - [10/May/2016:08:59:39 +0800] "GET /webtest/js/jquery-1.6.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:39 +0800] "GET /webtest/js/search.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:39 +0800] "GET /webtest/js/test.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:39 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:08:59:40 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841980166 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:08:59:41 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462841981866 HTTP/1.1" 200 137
127.0.0.1 - - [10/May/2016:09:01:19 +0800] "GET /webtest/video.jsp HTTP/1.1" 200 7189
127.0.0.1 - - [10/May/2016:09:01:19 +0800] "GET /webtest/js/jquery-1.6.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:09:01:19 +0800] "GET /webtest/js/search.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:09:01:19 +0800] "GET /webtest/js/test.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:09:01:19 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2016:09:01:20 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1462842080665 HTTP/1.1" 200 137
