127.0.0.1 - - [17/Mar/2016:09:32:26 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:32:27 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:40:18 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 5970
127.0.0.1 - - [17/Mar/2016:09:40:18 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:40:18 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:40:18 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:41:01 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 5972
127.0.0.1 - - [17/Mar/2016:09:41:01 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:41:01 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:41:01 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:41:31 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 5988
127.0.0.1 - - [17/Mar/2016:09:41:31 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:41:31 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:41:31 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:43:20 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7292
127.0.0.1 - - [17/Mar/2016:09:43:20 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:43:20 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:43:20 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:43:23 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7292
127.0.0.1 - - [17/Mar/2016:09:43:23 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:43:23 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:43:23 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:45:34 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7291
127.0.0.1 - - [17/Mar/2016:09:45:34 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:45:34 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:45:34 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:50:29 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7291
127.0.0.1 - - [17/Mar/2016:09:50:29 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:50:29 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:50:29 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:51:16 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:51:30 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7291
127.0.0.1 - - [17/Mar/2016:09:54:07 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7243
127.0.0.1 - - [17/Mar/2016:09:54:07 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:54:07 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:54:07 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:02:34 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7243
127.0.0.1 - - [17/Mar/2016:10:02:34 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:02:34 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:02:34 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:03:39 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 6827
127.0.0.1 - - [17/Mar/2016:10:03:39 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:03:39 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:03:39 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:24:59 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 6845
127.0.0.1 - - [17/Mar/2016:10:24:59 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:24:59 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:24:59 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:25:01 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:25:05 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:25:08 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:38:05 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 6901
127.0.0.1 - - [17/Mar/2016:10:38:05 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:38:05 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:38:05 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:38:06 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:38:12 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:40:29 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7013
127.0.0.1 - - [17/Mar/2016:10:40:29 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:40:29 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:40:29 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:40:30 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:42:00 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:42:05 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:42:06 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:42:22 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:42:23 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:42:25 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:42:27 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:43:37 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7157
127.0.0.1 - - [17/Mar/2016:10:43:37 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:43:37 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:43:37 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
