127.0.0.1 - - [17/Nov/2016:09:00:12 +0800] "GET /webtest/video.jsp HTTP/1.1" 200 5356
127.0.0.1 - - [17/Nov/2016:09:00:12 +0800] "GET /webtest/ckplayer/ckplayer.swf HTTP/1.1" 200 57678
127.0.0.1 - - [17/Nov/2016:09:00:13 +0800] "GET /webtest/user.jsp HTTP/1.1" 200 22368
127.0.0.1 - - [17/Nov/2016:09:00:13 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Nov/2016:09:00:13 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1479344413816 HTTP/1.1" 200 177
127.0.0.1 - - [17/Nov/2016:09:00:14 +0800] "GET /webtest/video.jsp HTTP/1.1" 200 5356
127.0.0.1 - - [17/Nov/2016:09:00:14 +0800] "GET /webtest/ckplayer/ckplayer.swf HTTP/1.1" 200 57678
127.0.0.1 - - [17/Nov/2016:09:00:18 +0800] "GET /webtest/line.jsp HTTP/1.1" 200 10081
127.0.0.1 - - [17/Nov/2016:09:00:20 +0800] "GET /webtest/search.jsp HTTP/1.1" 200 15147
127.0.0.1 - - [17/Nov/2016:09:00:20 +0800] "POST /webtest/ajax/search_ajax.jsp HTTP/1.1" 200 45
127.0.0.1 - - [17/Nov/2016:09:00:21 +0800] "GET /webtest/upgrade.jsp HTTP/1.1" 200 11992
127.0.0.1 - - [17/Nov/2016:09:00:22 +0800] "GET /webtest/record.jsp HTTP/1.1" 200 5023
127.0.0.1 - - [17/Nov/2016:09:00:23 +0800] "GET /webtest/authority.jsp HTTP/1.1" 302 -
127.0.0.1 - - [17/Nov/2016:09:00:23 +0800] "GET /webtest/index2.jsp HTTP/1.1" 200 2531
